advice	advise
board	boards
boarder	boards
boards	border
bored	boards
boating	boasting
boasting	roasting
balm	bob
bar	bob
bib	bob
bob	barb
bob	blob
bob	bog
bob	bomb
bob	bong
bob	boob
bob	cob
bob	knob
bob	mob
bob	rob
bob	sob
beau	bode
boa	bode
boat	bode
bode	abode
bode	bold
bode	bone
bode	both
bode	bowl
bode	code
bode	load
bode	mode
bode	node
bode	road
bode	toad
beagle	boggle
boggle	bottle
bogus	bolus
bolus	bonus
banana	bonanza
bode	boned
bold	boned
bone	boned
boned	boner
boned	bones
boned	bound
owned	boned
bolus	boneless
bonus	boneless
bogey	boney
bone	boney
boned	boney
boner	boney
bones	boney
boney	phoney
boney	phony
boney	pony
bingo	bongo
bank	bonk
bark	bonk
bong	bonk
bonk	bunk
bonk	honk
balmy	bonny
body	bonny
bond	bonny
bonny	bunny
bogey	bony
bone	bony
boned	bony
boner	bony
bones	bony
bony	phoney
bony	phony
bony	pony
boob	booby
booby	boogie
booby	booty
booby	ruby
backed	booked
book	booked
booked	cooked
booked	hooked
book	bookie
booked	bookie
bookie	bully
bookie	bushy
bookie	cookie
bookie	rookie
bomber	boomer
boom	boomer
boomer	bloomer
boomer	bummer
boomer	rumor
boomer	tumor
ban	boon
bean	boon
bin	boon
boo	boon
boob	boon
boom	boon
boon	boot
boon	booth
boon	booze
boon	bun
boon	burn
boon	dune
boon	goon
boon	moon
boon	noon
boon	soon
boon	tune
bar	boor
bare	boor
bear	boor
beer	boor
bier	boor
boar	boor
book	boor
boor	bore
boor	bull
boor	bush
boor	lure
boor	poor
boor	sure
boor	tour
bearish	boorish
bookish	boorish
boost	booster
booster	rooster
batty	bootie
bitty	bootie
booby	bootie
boogie	bootie
boot	bootie
bootie	beauty
bootie	duty
bootleg	bootlegger
boomer	boozer
booze	boozer
boozer	buzzer
boozer	loser
boozer	user
booby	boozy
boogie	boozy
bootie	boozy
booty	boozy
booze	boozy
boozer	boozy
boozy	busy
boozy	woozy
balm	bop
bar	bop
beep	bop
bob	bop
bog	bop
bomb	bop
bong	bop
bop	burp
bop	cop
bop	hop
bop	mop
bop	pop
bop	shop
bop	top
boarder	bordered
border	bordered
ordered	bordered
bearer	borer
boar	borer
board	borer
bore	borer
bored	borer
borer	boarder
borer	border
borer	born
borer	horror
boric	boring
brick	boric
beau	borough
blow	borough
borough	baroque
borough	thorough
borrow	borrower
balm	bosh
bar	bosh
bash	bosh
bob	bosh
bog	bosh
bomb	bosh
bong	bosh
bop	bosh
bosh	bush
bosh	gosh
bosh	posh
bosh	wash
batch	botch
beach	botch
beech	botch
birch	botch
bitch	botch
bosh	botch
botch	butch
botch	watch
bottom	bottomed
beau	bough
bough	brow
bough	buy
bough	by
bough	bye
bough	cow
bough	how
bough	now
bough	sow
bough	vow
bounce	bouncer
bouncer	bouncy
bound	abound
binder	bounder
bouncer	bounder
bound	bounder
bounder	boundary
bound	bounds
bounder	bounds
bobbin	bourbon
bobbin	robin
barn	bourn
boar	bourn
board	bourn
bore	bourn
bored	bourn
borer	bourn
bourn	corn
bourn	horn
bourn	mourn
bourn	porn
bourn	thorn
bourn	torn
bourn	warn
bourn	worn
bite	bout
boat	bout
bough	bout
bout	about
bow	bout
bout	byte
bout	doubt
out	bout
bout	shout
batik	boutique
bootie	boutique
booty	boutique
bide	bowed
bode	bowed
bough	bowed
bout	bowed
bow	bowed
bowed	bound
bowed	loud
bough	bower
bout	bower
bow	bower
bowed	bower
bower	buyer
hour	bower
our	bower
bower	power
bower	shower
bower	sour
bower	tower
bower	bowery
bowing	blowing
bowing	boating
bowing	bowling
bowing	going
bowing	knowing
bowing	rowing
bowing	sewing
bold	bowler
bolt	bowler
boner	bowler
bowl	bowler
bowler	boulder
bowler	bowls
bowler	polar
bowler	roller
bowler	solar
boxcar	boxcars
box	boxed
boxed	boxer
box	boxy
boxed	boxy
boxer	boxy
boxy	foxy
based	braced
brace	braced
brace	bracer
braced	bracer
bracer	breaker
bracer	eraser
racer	bracer
blacken	bracken
bay	brae
brae	brace
brae	braid
brae	brain
brae	brake
brae	brave
brae	break
brae	fray
brae	gray
brae	grey
brae	pray
brae	prey
ray	brae
brae	tray
brag	bragger
bagging	bragging
bladed	braided
bail	braille
bale	braille
brace	braille
brae	braille
braid	braille
braille	brain
braille	brake
braille	brave
braille	break
braille	broil
braille	frail
braille	grail
rail	braille
braille	trail
brainwash	brainwashed
blase	braise
blaze	braise
brace	braise
brae	braise
braid	braise
braille	braise
brain	braise
braise	brake
braise	brave
braise	break
braise	craze
braise	graze
braise	phrase
braise	praise
raise	braise
braid	braised
braise	braised
braised	crazed
raised	braised
brace	brakes
brake	brakes
break	brakes
brakes	breaker
blanch	branch
branch	branched
banded	branded
banding	branding
branding	brandish
brass	brassy
brassy	grassy
brassy	brasserie
battle	brattle
brattle	brittle
brattle	brutal
rattle	brattle
bran	brawn
brawl	brawn
brawn	broad
brawn	broth
brawn	drawn
brawn	prawn
brawn	brawny
breaker	breakers
braiding	breaking
braiding	grading
braiding	trading
breathe	breathed
breed	breathed
breathe	breather
breathed	breather
breather	brother
beach	breech
beech	breech
bleach	breech
breech	preach
reach	breech
breather	breeder
breed	breeder
reader	breeder
brew	brewer
brewer	brewery
brewer	broom
brewer	bruise
brewer	brute
bluing	brewing
bring	brewing
briar	bribe
briar	bride
briar	bright
briar	brine
buyer	briar
briar	dryer
briar	friar
briar	prior
breeding	briefing
bribe	brier
bride	brier
brier	bright
brier	brine
buyer	brier
brier	dryer
brier	friar
brier	prior
big	brig
brag	brig
brick	brig
brig	brim
brig	bring
bright	barite
brimming	bringing
blink	brink
brick	brink
bring	brink
brink	brisk
brink	drink
brink	shrink
biscuit	brisket
roach	broach
broach	broached
broadcast	broadcaster
boiled	broiled
broil	broiled
boiler	broiler
broil	broiler
broiled	broiler
bronze	bronzed
brooch	broached
roach	brooch
bread	brood
breed	brood
brew	brood
brewer	brood
broad	brood
brood	broom
brood	bruise
brood	brute
brood	crude
brood	prude
rude	brood
breeding	brooding
brewing	brooding
brewery	broody
brood	broody
bound	browned
brown	browned
browned	brownie
browned	ground
round	browned
boozing	buzzing
boozing	bruising
brewing	bruising
brooding	bruising
blunt	brunt
brunt	brunch
brunt	front
brunt	grunt
brunt	brushed
brush	brushed
brushed	crushed
rushed	brushed
blushing	brushing
brisk	brusque
rusk	brusque
boot	brut
brat	brut
brew	brut
brewer	brut
brood	brut
broom	brut
bruise	brut
brut	fruit
root	brut
bedding	budding
bidding	budding
budding	buzzing
buff	buffer
buffer	bummer
buffer	butter
buffer	buzzer
buffer	suffer
buffet	buffeted
baboon	buffoon
balloon	buffoon
bassoon	buffoon
bud	bugged
bug	bugged
bugged	buggy
beggar	bugger
bigger	bugger
buffer	bugger
bug	bugger
bugged	bugger
bugger	buggy
bugger	bummer
bugger	burger
bugger	butter
bugger	buzzer
bulldoze	bulldozer
bullfight	bullfighter
billion	bullion
bookish	bullish
boorish	bullish
bubbling	bumbling
bumbling	tumbling
bang	bung
bong	bung
buck	bung
bud	bung
buff	bung
bug	bung
bum	bung
bun	bung
bung	bunk
bung	bus
bung	but
bung	butt
bung	buzz
bung	dung
bung	lung
bung	rung
bung	tongue
bung	young
ban	bunt
bean	bunt
bin	bunt
boon	bunt
buck	bunt
bud	bunt
buff	bunt
bug	bunt
bum	bunt
bung	bunt
bunt	bunny
bunt	buns
bunt	burn
bunt	bus
bunt	but
bunt	butt
bunt	buzz
bunt	done
bunt	fun
bunt	gun
bunt	none
bunt	nun
bunt	one
bunt	pun
bunt	run
bunt	shun
bunt	son
bunt	sun
bunt	ton
bunt	won
be	buoy
bee	buoy
boo	buoy
boob	buoy
boom	buoy
boon	buoy
boot	buoy
booth	buoy
booze	buoy
buoy	booby
buoy	boogie
buoy	bootie
buoy	booty
buoy	boozy
buoy	gooey
burden	burdened
bag	burg
beg	burg
berth	burg
big	burg
bird	burg
birth	burg
bog	burg
bug	burg
burg	burger
burg	burn
burg	burp
barium	burial
ball	burl
bawl	burl
bell	burl
belle	burl
berth	burl
bill	burl
bird	burl
birth	burl
bull	burl
burg	burl
burl	burn
burl	burp
burl	curl
earl	burl
burl	girl
burl	hurl
burl	pearl
burl	whirl
belly	burly
birdie	burly
bully	burly
burl	burly
early	burly
birthing	burping
be	burr
bee	burr
boo	burr
burr	berth
burr	bird
burr	birth
burr	blur
burr	burg
burr	burl
burr	burn
burr	burp
burr	fir
burr	fur
burr	her
burr	per
burr	purr
burr	sir
beau	burro
blow	burro
burro	baroque
burro	thorough
baring	burying
bearing	burying
bigness	business
businessman	businessmen
bass	buss
boss	buss
buck	buss
bud	buss
buff	buss
bug	buss
bum	buss
bun	buss
bung	buss
bunt	buss
buss	bust
buss	but
buss	butt
buss	buzz
buss	cuss
buss	fuss
buss	pus
buss	thus
us	buss
bastard	bustard
bustard	custard
bustard	mustard
booster	buster
bust	buster
buster	bluster
buster	bustard
butter	buster
buster	duster
buster	luster
buster	bustier
bubbling	bustling
butcher	butchery
bottler	butler
buttock	buttocks
buttock	button
button	buttoned
buttress	buttressed
buzzer	buzzard
buzzard	buzzword
bile	bylaw
abbey	cabby
cab	cabby
cabby	carry
cabby	crabby
cabby	shabby
cabby	caddy
caddy	candy
caddy	carry
caddy	daddy
caddy	paddy
caddy	cadre
carry	cadre
cage	cagey
balk	calk
calk	call
calk	cock
calk	cog
calk	cook
calk	core
calk	cork
calk	corps
calk	coy
calk	hawk
calk	kick
calk	talk
call	caller
caller	collar
caller	color
caller	cooler
caller	curler
caller	killer
caliph	callous
aloe	callow
callow	kilo
callow	shallow
caliph	callus
callus	malice
callus	palace
bam	cam
cab	cam
cache	cam
calf	cam
calm	cam
cam	camp
cam	can
cam	cap
cam	cash
cam	cat
cam	clam
cam	come
cam	cram
cam	dam
cam	damn
cam	ham
cam	lamb
cam	ram
cam	scam
cam	sham
cam	wham
cam	yam
cackle	camel
cackle	castle
cackle	cattle
cackle	crackle
cackle	shackle
cackle	tackle
campaign	campaigner
camp	campy
camper	campy
cancel	cancelled
cancer	candor
candor	candy
candor	gander
anchor	canker
banker	canker
canker	conquer
and	canned
band	canned
banned	canned
can	canned
canned	candor
canned	candy
canned	hand
canned	land
canned	sand
calorie	cannery
candy	cannery
cabby	canny
caddy	canny
can	canny
canned	canny
canny	candy
canny	cannery
canny	carry
canny	cranny
canny	nanny
cancel	cantle
candle	cantle
cattle	cantle
banyan	canyon
cape	caper
caper	clipper
caper	paper
caper	vapor
apt	capped
cap	capped
capped	cast
cat	capped
capped	kept
capped	wrapped
capacious	capricious
captain	capstan
capped	captor
captor	capture
beret	carat
carat	carrot
carat	ferret
carat	merit
carat	parrot
carbide	carbine
carbine	combine
cardiac	carjack
barman	carmine
carbon	carmine
carmine	carton
common	carmine
karma	carmine
carat	carob
carob	caribou
barrel	carol
cackle	carol
camel	carol
carol	carrot
carol	castle
carol	cattle
carol	choral
carol	coral
arouse	carouse
cows	carouse
carnal	carpal
carpal	carpet
art	carte
car	carte
card	carte
carp	carte
carte	cost
cot	carte
carte	court
carte	dart
carte	heart
carte	part
carte	tart
carping	carting
car	carve
card	carve
carp	carve
cart	carve
carte	carve
card	carved
carve	carved
casein	caesarean
casework	caseworker
cache	cashed
capped	cashed
cash	cashed
cashed	cashew
cashed	cast
cat	cashed
ask	cask
bask	cask
cask	cast
cask	mask
cask	task
beset	cassette
cadet	cassette
cask	cassock
cassock	castle
capped	caste
cashed	caste
cask	caste
cat	caste
caste	cost
caste	fast
caste	last
caste	mast
caste	past
caste	vast
aster	caster
captor	caster
cast	caster
caste	caster
caster	faster
caster	master
caster	pastor
catalog	cataloger
catalogue	cataloger
categorize	categorized
caper	cater
cater	crater
cater	critter
cater	later
cater	skater
cater	waiter
cater	caterer
catnap	catnip
batty	catty
cabby	catty
caddy	catty
canny	catty
carry	catty
cat	catty
catch	catty
catty	catchy
catty	fatty
catty	kitty
caucus	carcass
calk	caulk
calm	caulk
car	caulk
caulk	cause
caulk	clock
caulk	cob
caulk	cocky
caulk	cod
caulk	con
caulk	cook
caulk	cop
caulk	cot
caulk	cough
caulk	dock
caulk	khaki
caulk	kick
caulk	knock
caulk	lock
caulk	mock
caulk	rock
caulk	shock
caulk	sock
caulk	walk
caulk	wok
balking	caulking
calling	caulking
caulking	cooking
caulking	talking
caulking	walking
array	cay
bay	cay
cay	cake
cay	cane
cay	cape
cay	case
cay	cave
cay	clay
cay	coy
cay	day
cay	gay
cay	hay
cay	lay
cay	may
cay	pay
cay	ray
cay	say
cay	they
cay	way
cay	weigh
bead	cede
cease	cede
cede	cedar
cede	deed
cede	feed
cede	need
cede	reed
cede	sad
cede	said
cede	scene
sea	cede
cede	seal
cede	seam
cede	seat
see	cede
cede	seedy
cede	seek
cede	seem
cede	seep
cede	seize
cede	speed
cede	steed
cede	weed
ceding	ceiling
ceding	feeding
ceding	leading
ceding	seating
seeing	ceding
ceding	seeking
ceding	speeding
censor	censored
censored	centered
censored	sensory
censor	censure
censure	center
censure	centre
censure	sender
censoring	centering
centralize	centralized
cease	cerise
cerise	serene
cerise	surreal
chafe	chain
chafe	chase
chafe	chafed
chafed	chaste
chagrin	chagrined
chain	chained
chained	chains
chained	change
chained	trained
ballet	chalet
challenge	challenger
chamber	chambered
chance	chancy
chancy	chancery
bandolier	chandelier
change	changed
change	changer
changed	changer
channel	channels
chaff	chap
chaff	chat
chaff	chief
chap	champ
champ	chimp
champ	chomp
champ	tramp
chair	char
chalk	char
char	charm
char	chart
char	cheer
char	chop
char	chore
tar	char
charade	charades
shades	charades
char	chard
chard	charge
chard	charm
chard	chart
shard	chard
charge	charger
charged	charger
charm	charmer
charmer	charter
chart	charter
charter	chartered
chafed	chased
chase	chased
chased	chaser
taste	chased
chaff	chasse
chap	chasse
chasse	chance
chasse	chat
chasse	chess
chasse	chassis
chassis	chancy
chassis	chatty
channel	chattel
chapel	chattel
tattle	chattel
check	checked
checked	chest
check	checker
checked	checker
checker	checkered
checker	checkers
checker	cheddar
chat	chert
cheat	chert
chert	chirp
chert	church
shirt	chert
chairman	chessman
chaw	chew
chaw	chore
chew	chewer
chewer	chewy
chewer	choose
chide	child
chide	chime
tide	chide
tied	chide
chili	chiller
chill	chiller
chiller	chilly
chiller	tailor
cheering	chilling
cheering	tiring
chick	chink
chink	chunk
chiller	chipper
chip	chipper
chipper	chips
chipper	chopper
cheering	chipping
chilling	chipping
shipping	chipping
chipping	tripping
chirp	chirpy
chisel	chiseled
chat	chit
cheat	chit
cheer	chit
chert	chit
chick	chit
chill	chit
chin	chit
chip	chit
chit	tight
tit	chit
char	chock
check	chock
cheek	chock
chick	chock
chock	chop
chock	chuck
shock	chock
choke	choked
chalk	chon
char	chon
chin	chon
chock	chon
chon	chop
chart	chopped
chop	chopped
chopped	chopper
chirpy	choppy
chop	choppy
chopped	choppy
chopper	choppy
causal	choral
causal	coral
choreographer	choreography
chuck	chug
tug	chug
chuck	chum
chug	chum
chubby	chummy
chum	chummy
tummy	chummy
champ	chump
chimp	chump
chomp	chump
chum	chump
chummy	chump
chump	trump
chert	churn
chin	churn
chirp	churn
chon	churn
turn	churn
boot	chute
chute	hoot
chute	loot
chute	newt
chute	root
chute	sheet
chute	shirt
chute	shit
shoe	chute
chute	shoes
chute	shooter
chute	shot
chute	shut
chute	suit
chute	toot
cinematographer	cinematography
cirque	circa
irk	cirque
cirque	perk
cirque	sack
cirque	seek
cirque	serve
cirque	sick
sir	cirque
cirque	smirk
cirque	sock
cirque	suck
cirque	surf
cirque	work
cirrus	citrus
cirrus	iris
cirrus	serious
cervix	civics
civic	civics
civic	cynic
civet	civil
civet	pivot
civilize	civilized
clack	clad
clad	clam
clad	clan
clad	clap
clad	clash
clad	class
clad	glad
lad	clad
clad	plaid
clairvoyance	clairvoyant
clam	clamor
clammy	clamor
clamor	clamp
clamor	clams
clamor	glamour
clamor	clamber
clack	clang
clad	clang
clam	clang
clan	clang
clang	clap
clang	clash
clang	class
clang	cling
clang	slang
blank	clank
clack	clank
clang	clank
clank	plank
clanging	clapping
clanging	clanking
clamor	clapper
clap	clapper
clapper	clipper
clapper	flapper
carrion	clarion
classify	classified
clamor	clatter
clapper	clatter
clatter	clutter
clatter	flatter
latter	clatter
clatter	platter
clad	clawed
clause	clawed
claw	clawed
clawed	cloth
clawed	flawed
careen	clean
careen	courier
keen	careen
careen	marine
careen	queen
careen	serene
cleaner	cleaners
clear	cleared
clean	cleat
cleat	cleave
cleat	clique
cleat	elite
cleat	fleet
cleat	sleet
cleat	cleats
cleats	klutz
clench	clenched
blues	clews
clause	clews
clue	clews
clews	cruise
lose	clews
climatic	climactic
clench	clinch
clinch	flinch
lynch	clinch
clenched	clinched
clinch	clinched
clinch	clincher
clinched	clincher
blink	clink
clank	clink
click	clink
cling	clink
link	clink
clapboard	clipboard
clip	clipped
clipped	clipper
clipped	crypt
clapping	clipping
clipping	slipping
clearing	clipping
cloak	cloaked
clock	clocks
lox	clocks
clawed	clogged
cloister	cloistered
cloning	closing
cloning	clothing
allot	clot
blot	clot
cleat	clot
clock	clot
clog	clot
cot	clot
lot	clot
clot	plot
clot	slot
allotted	clotted
carotid	clotted
clogging	clotting
cloud	clout
clout	clown
cloning	clowning
clouding	clowning
alloy	cloy
clause	cloy
claw	cloy
clawed	cloy
clay	cloy
cloth	cloy
coy	cloy
club	clubby
clamp	clump
lump	clump
clump	plump
clank	clunk
clink	clunk
cluck	clunk
clunk	flunk
clunk	clunky
cluster	clustered
custard	clustered
clutter	cluttered
cluttered	clustered
coalesce	coalesced
cobbler	cobblers
caulk	cocker
cock	cocker
cocker	cocky
cocker	collar
cocker	conquer
cocker	cooker
cocker	copper
cocker	khaki
cocker	locker
cocker	rocker
cocker	soccer
cocky	cockney
khaki	cockney
cobble	gobble
cobble	hobble
cobble	wobble
cobble	coddle
coddle	cuddle
coddle	model
coddle	waddle
code	coda
coda	cola
coda	coma
coda	soda
coda	coder
code	coder
coder	kosher
odor	coder
coax	coerce
coke	coax
coax	hoax
caller	coffer
offer	coffer
cognizance	cognizant
coherence	coherent
coincidence	coincident
boldness	coldness
collaborate	collaborator
collar	cholera
cholera	collard
collard	collards
collecting	collective
collegian	collegiate
cocky	collie
coffee	collie
collar	collie
collie	colleague
collie	copy
collie	folly
collie	golly
collie	holly
collie	khaki
colloquial	colloquium
allude	collude
allusion	delusion
allusion	illusion
allusion	collusion
collision	collusion
collusion	delusion
colonize	colonized
colonize	colonizer
colonized	colonizer
colossal	colossus
bolt	colt
coal	colt
coast	colt
coat	colt
cola	colt
cold	colt
colt	volt
colonist	columnist
code	combed
cold	combed
coma	combed
comb	combed
coating	combing
coding	combing
comedian	comedienne
bummer	comer
color	comer
come	comer
comer	cover
comer	cutter
comer	summer
comfort	comforts
comforter	comforts
comely	comfy
comfy	comfrey
amend	commend
command	commend
commence	commend
commercialize	commercialized
balmy	commie
calm	commie
cocky	commie
coffee	commie
collie	commie
comma	commie
commie	copy
commie	khaki
commie	mommy
commission	commissioned
commission	commissioner
commissioned	commissioner
committal	committed
common	commoner
communication	communications
communicate	communicator
communique	communicate
commute	commuter
commuter	computer
calm	comp
camp	comp
carp	comp
comma	comp
commie	comp
cop	comp
comp	pomp
comparing	compelling
competence	competency
compile	compiler
complacent	complainant
complain	complainer
complainer	complaint
compliance	compliant
complement	compliment
complementary	complimentary
compliment	compliments
compartment	comportment
compose	composed
composed	composer
compote	compost
compressed	compressor
compromise	compromiser
commuting	computing
concealing	conceding
conceal	conceit
concede	conceit
conceit	conceive
conceited	concerted
concession	conception
concession	confession
concave	conclave
concurrence	concurrent
condense	condenser
condition	conditioned
conditioned	conditioner
conditioned	conditions
candor	condor
condor	ponder
condor	wander
conducting	conductive
boney	coney
bony	coney
cone	coney
coney	cosy
coney	cozy
coney	phoney
coney	phony
coney	pony
confession	confection
connection	confection
confection	confectioner
confidant	confidante
confidante	confident
confidence	confident
configure	configured
confiding	confining
confirm	confirmed
confluence	confluent
congratulation	congratulations
comic	conic
conic	chronic
conic	sonic
conic	tonic
comical	conical
condor	conjure
conjure	conjuror
bonk	conk
caulk	conk
cock	conk
conk	conquer
conk	honk
collective	connective
collector	connector
connect	connector
consequence	consequent
concerned	conserved
conserve	conserved
consider	considered
concise	consign
confine	consign
confinement	consignment
consistence	consistent
consistence	consistency
cancellation	consolation
consolation	constellation
constrain	constrained
constrain	constraint
constrained	constraint
constriction	construction
constrictor	constructor
construct	constructor
cancel	consul
consul	consular
consolation	consultation
consulate	consummate
consolation	consummation
contagion	contagious
contain	contained
contained	container
contemporary	contemporaries
contend	contender
contention	contentious
continue	continued
contiguous	continuous
continual	continuous
continuous	continuance
continual	continuum
continuous	continuum
consort	contort
contraction	contraption
contrite	contrive
control	comptroller
comptroller	controlled
control	controlled
controlled	controller
convalescence	convalescent
confection	convection
connection	convection
convection	conviction
contention	convention
convection	convention
convergence	convergent
concerted	converted
boo	coo
coo	clue
coo	cool
coo	crew
coo	cue
coo	dew
coo	do
coo	due
coo	ewe
coo	goo
coo	key
coo	loo
coo	new
coo	queue
coo	rue
coo	shoe
coo	sue
coo	to
coo	too
coo	two
coo	who
coo	woo
coo	you
coo	zoo
boon	coon
can	coon
con	coon
coo	coon
cool	coon
coup	coon
coon	dune
coon	goon
coon	keen
coon	kin
coon	moon
coon	noon
coon	soon
coon	tune
cap	coop
coo	coop
cool	coop
coon	coop
coop	cop
coup	coop
coop	cup
coop	dupe
coop	goop
coop	hoop
coop	keep
coop	loop
coop	poop
coop	scoop
coop	soup
boot	coot
cat	coot
chute	coot
coo	coot
cool	coot
coon	coot
coop	coot
coot	cot
coup	coot
coot	cut
coot	cute
coot	hoot
coot	kit
coot	loot
coot	newt
coot	root
coot	shoot
coot	suit
coot	toot
coating	coping
coding	coping
combing	coping
coleus	copious
copper	coppery
copy	coppery
cobra	copra
copyright	copywriter
boards	cords
cards	cords
chord	cords
cord	cords
cork	corker
corker	corner
corny	cornea
cornea	corneal
corny	corneal
carnal	cornel
choral	cornel
coral	cornel
corneal	cornel
corner	cornered
corneal	cornmeal
corgi	corny
cautionary	coronary
corollary	coronary
corner	coroner
coroner	corridor
coroner	foreigner
chorus	corpus
corpse	corpus
corpus	porpoise
correction	corrections
coronation	correlation
correspondence	correspondent
code	corrode
correlated	corrugated
cost	costs
costume	costumer
cocker	cotter
collar	cotter
copper	cotter
cot	cotter
cotter	cutter
otter	cotter
cotter	potter
causing	coughing
countable	accountable
counterfeit	counterfeiter
countess	countless
cap	coupe
coo	coupe
cool	coupe
coon	coupe
coot	coupe
cop	coupe
coup	coupe
coupe	cup
coupe	dupe
coupe	goop
coupe	hoop
coupe	keep
coupe	loop
coupe	poop
coupe	scoop
coupe	soup
couple	coupled
color	coupler
carting	courting
costing	courting
coursing	courting
cousin	coven
coven	covet
oven	coven
coloring	covering
cover	covey
covey	curry
covey	curvy
bower	cower
cow	cower
cower	coward
cower	cows
hour	cower
our	cower
cower	power
cower	scour
cower	shower
cower	sour
cower	tower
coal	cowl
cow	cowl
cower	cowl
cowl	cows
cowl	foul
cowl	fowl
cowl	howl
owl	cowl
cowl	scowl
crab	crabbed
crabbed	crabby
crab	crabs
crabbed	crabs
crabby	crabs
clank	crank
crack	crank
crank	cranky
crank	frank
crank	prank
rank	crank
crap	craps
crass	craps
crave	craved
craved	crazed
claw	craw
craw	crawl
craw	crew
craw	cross
craw	draw
creak	creaky
creaky	creamy
creek	creaky
creaky	creepy
cream	creamer
creamer	creamy
creamer	dreamer
creamer	creamery
creamy	creamery
credited	accredited
credit	creditor
creditor	predator
credit	credits
creditor	credits
creaking	creeping
craps	creeps
crease	creeps
creep	creeps
creeps	creepy
cape	crepe
crane	crepe
crate	crepe
crave	crepe
craze	crepe
crepe	drape
crepe	grape
rape	crepe
crepe	scrape
caress	cress
crass	cress
crease	cress
cress	crest
cress	cross
cress	dress
cress	press
crew	accrue
accrue	screw
brick	crick
cake	crick
click	crick
crack	crick
creak	crick
creek	crick
crib	crick
crick	crook
kick	crick
crick	prick
crick	quick
crick	trick
briar	crier
brier	crier
choir	crier
crier	crime
cry	crier
crier	dryer
crier	friar
crier	prior
cramp	crimp
crimp	crisp
crimp	shrimp
crisscross	crisscrossed
broker	croaker
croak	croaker
caulk	crock
clock	crock
cock	crock
crack	crock
creak	crock
creek	crock
crick	crock
crock	crook
crock	crop
rock	crock
chrome	crone
clone	crone
cone	crone
croak	crone
crow	crone
crone	crown
crone	drone
crone	groan
crone	grown
crone	prone
crone	throne
coney	crony
crone	crony
coon	croon
crew	croon
croon	crude
croon	cruise
croon	prune
croon	crooner
copper	cropper
crop	cropper
cropper	proper
crochet	croquet
crest	crossed
cross	crossed
crossed	crust
crossed	frost
coop	croup
coupe	croup
crap	croup
creep	croup
crew	croup
croon	croup
crop	croup
croup	crude
croup	cruise
croup	group
croup	troop
clouded	crowded
clouding	crowding
crowing	growing
rowing	crowing
crowing	croaking
browned	crowned
crowd	crowned
crown	crowned
crowned	ground
round	crowned
creed	crud
crud	crude
crud	crumb
crud	crush
crud	cruddy
cruddy	crummy
cruel	accrual
crooner	cruiser
cruise	cruiser
crumb	crumbs
crumbs	crummy
crumble	crumple
crumple	crumpled
crush	crusher
crushed	crusher
brushing	crushing
crashing	crushing
crested	crusted
cryogenic	cryogenics
critic	cryptic
crystalline	crystallize
crystallize	crystallized
cubic	pubic
cubic	cubit
cubit	cubist
coupling	cuddling
buddy	cuddy
caddy	cuddy
covey	cuddy
cuddy	cruddy
cuddy	curry
cuddy	muddy
cuddle	cudgel
call	cull
come	cull
cool	cull
cub	cull
cuff	cull
cull	color
cull	cult
cull	cup
cull	curl
cull	cuss
cull	cut
cull	dull
cull	gull
cull	hull
cull	kill
cull	null
cull	skull
burr	cur
coo	cur
coup	cur
cur	curb
cur	curl
cur	curse
cur	curve
cur	fir
cur	fur
cur	her
cur	key
cur	occur
cur	per
cur	purr
cur	sir
bird	curd
cod	curd
cur	curd
curb	curd
curd	curl
curd	curse
curd	curve
curd	curved
curd	heard
curd	herd
curd	kid
curd	nerd
curd	third
curd	word
cure	cured
curl	corral
curd	curled
curl	curled
curled	curler
curled	curved
curled	world
calling	curling
cling	curling
cooling	curling
curling	killing
curbing	curling
burst	cursed
cast	cursed
caste	cursed
cost	cursed
curse	cursed
cursed	first
cursed	thirst
cursed	worst
courier	cursor
curler	cursor
curse	cursor
cursed	cursor
cursor	cursory
cursory	nursery
cat	curt
coot	curt
cot	curt
cur	curt
curb	curt
curd	curt
curl	curt
curse	curt
curt	cursed
curt	curve
curt	cut
curt	dirt
curt	hurt
curt	kit
curt	shirt
curt	skirt
calving	curving
curbing	curving
curling	curving
curving	serving
cushion	cushioned
cup	cusp
cuss	cusp
bust	cussed
cast	cussed
caste	cussed
cost	cussed
cult	cussed
cursed	cussed
cusp	cussed
cuss	cussed
cussed	crust
cut	cussed
cussed	dust
cussed	gust
cussed	lust
cussed	must
cussed	rust
custodial	custodian
custom	accustom
comeback	cutback
cuteness	acuteness
coming	cutting
cunning	cutting
are	czar
bar	czar
car	czar
czar	far
czar	par
czar	tar
babble	dabble
dabble	dazzle
dabble	double
dabble	dabbled
ace	dace
base	dace
case	dace
dace	dame
dace	date
day	dace
dace	days
dace	daze
dace	dice
dace	face
dace	lace
dace	mace
dace	pace
dace	race
dace	vase
bag	dag
dab	dag
dad	dag
dag	dagger
dag	dam
dag	damn
dag	dash
dag	dig
dag	dog
dag	drag
dag	dug
dag	fag
dag	gag
dag	lag
dag	nag
dag	rag
dag	shag
dag	tag
dag	wag
chaise	days
chaise	daze
chaise	gaze
chaise	haze
chaise	maize
chaise	maze
chaise	phase
chaise	raise
chaise	shade
chaise	shades
chaise	shake
chaise	shame
chaise	shape
chaise	shave
chaise	ways
chaise	dais
dace	dais
dais	daisy
